,ID(0.0.1),en,Russian,Korean,cn
Language,language_title,Language,P2,,语言,,
,language_desc,Select your language,P2,,选择你的语言,,
,language_option1,English,P2,,English,,
,language_option2,简体中文,P2,,简体中文,,
,language_option3,Русский язык,P2,,Русский язык,,
,language_option4,Español,P2,,Español,,
,language_option5,한국인,P2,,한국인,,
Verify Your Device,verify_title,Verify Your Device,P2,,设备验证,,
,verify_desc,This process ensures the integrity of your Keystone device and firmware.,P2,,通过设备验证功能，可以校验您的设备是否被篡改过；也可以用来校验固件的完整性。,需要review,
,verify_cont1,Visit our website and click #F5870A Start Verification# button.,P2,figma,访问我们的网站，然后单击＃F5870A 设备验证＃按钮。,,
,verify_cont1_link,https://keyst.one/verify,P2,,https://keyst.one/verify,,
,verify_cont2,Scan the QR code displayed on the website to get your device verification code.,P2,figma,使用设备扫描“设备验证”页面上显示的二维码后，会在设备上显示验证码。,,
,verify_cont3,Enter the code on the website to check for any potential tampering with your device.,P2,figma,在“设备验证”页面上输入验证码，检查您的设备是否被篡改。,,
,verify_scan_qr_code,Scan QR Code,,没在figma上看到这是哪块的,扫描二维码,,
,verify_modal_title,Verifying,,没在figma上看到这是哪块的,验证中...,,
,verify_modal_desc,Calculating Auth Code...,,没在figma上看到这是哪块的,获取验证码...,,
,verification_code_title,Verification Code,P2,,验证码,,
,verification_failed,Failed,P0,,验证失败,,
,verification_success,Verified,P0,,验证成功,,
,verification_code_desc,Enter this code on Keystone's official website to verify your device's security.,P2,     ,在“设备验证”页面上输入验证码，检查您的设备是否安全。,,
,verification_code_failed_title,Unauthorized breach attempt detected!,P2,,未经授权的违规尝试检测到！,？,
,verification_code_failed_desc,"Your device may have been compromised, posing a risk to your sensitive data and digital assets.
For your safety, we recommend erasing all personal data and contacting Keystone Support team immediately for assistance.",P2,,"您的设备存在潜在篡改可能，这将会对您的隐私数据和数字资产造成威胁。
为了您的资产安全，我们建议您删除所有个人数据，并立即与Keystone支持团队联系以寻求帮助。",？,
,verification_code_failed_link,support@keyst.one,P2,,support@keyst.one,,
,verification_code_failed_button,Erase Data & Shut Down,,“Unauthorized breach attempt detected!”页面底部的按钮，新补充上的,删除数据 & 关闭设备,？,
,verify_qr_title,Verify Your Device,P2,,设备验证,,
,verify_qr_link,https://keyst.one/verify,P2,,https://keyst.one/verify,,
