VIEW,ID(0.0.1),en,优先级,这一列筛选“新增修改”,
Lanuage,language_title,Language,P2,,
,language_desc,Select your language,P2,,
,language_option1,English,P2,,
,language_option2,简体中文,P2,,
,language_option3,Русский язык,P2,,
,language_option4,Español,P2,,
,language_option5,한국인,P2,,
Verify Your Device,verify_title,Verify Your Device,P2,,
,verify_desc,This procedure is to verify that the Keystone device or firmware has not been tampered with.,P2,,
,verify_cont1,Please access the link stated below. Click the #F5870A Verify Device# button to initiate the process.,P2,,
,verify_cont1_link,https://keyst.one/verify,P2,,
,verify_cont2,Scan the QR code generated on the website to obtain your device verification code.,P2,,
,verify_cont3,Enter the code on the website to check whether the device has been compromised or not.,P2,,
,verify_scan_qr_code,Scan QR Code,,,
,verify_modal_title,Verifing,,,
,verify_modal_desc,Calculating Auth Code...,,,
,verification_code_title,Verification Code,P2,,
,verification_failed,Unsuccessful,P0,,
,verification_success,Successful,P0,,
,verification_code_desc,Input this verification code on the Device Verification page of Keystone's official website to authenticate the device.,P2,,
,verification_code_failed_title,Unauthorized breach attempt detected!,P2,,
,verification_code_failed_desc,"Your device has potentially been breached, putting your sensitive data and digital assets at risk. For safety, erase all personal data and contact our Customer Service team immediately.",P2,,
,verification_code_failed_link,support@keyst.one,P2,,
,verify_qr_title,Verify Your Device,P2,,
,verify_qr_link,https://keyst.one/verify,P2,,
Firmware Update,firmware_update_title,Firmware Update,P2,,
,firmware_update_desc,"To take advantage of the latest features, make sure to update your firmware to the most recent version.",P2,,
,firmware_update_via_sd,Via MicroSD Card,,,
,firmware_update_via_usb,Via USB,,,
,firmware_update_usb_title,Update via USB,P2,,
,firmware_update_usb_desc1,Ensure that your Keystone has at least 20% battery life remaining.,P2,,
,firmware_update_usb_desc2,Navigate to Keystone's firmware update page using your computer or mobile.,P2,,
,firmware_update_usb_desc2_link,https://keyst.one/webusb,P2,,
,firmware_update_usb_desc3,Connect Keystone to your computer with a USB-C cable.,P2,,
,firmware_update_usb_desc4,Tap the #F5870A Install Update# button on the webpage and follow the instructions to install the latest firmware.,P2,,
,firmware_update_usb_title2,#F5870A Caution#,P2,,
,firmware_update_usb_desc5,Do not unplug the USB cable while the installation process is underway.,P2,,
,firmware_update_usb_qr_title,Firmware Update,P2,,
,firmware_update_usb_qr_link,https://keyst.one/webusb,P2,,
,firmware_update_usb_connect_info_title,Connect to This Device?,P2,,
,firmware_update_usb_connect_info_desc,"Once connected, the external device will have the necessary authorization to transfer data to your Keystone.",P2,,
,firmware_update_updating_desc,Approximately 3 minutes,P2,,
,firmware_update_usb_updating_hint,Do not unplug the USB cable while the installation process is underway.,P2,,
,firmware_update_sd_title,Update via MicroSD,P2,,
,firmware_update_sd_desc1,Ensure that your Keystone has at least 20% battery life remaining.,P2,,
,firmware_update_sd_desc2,Head over to,P2,,
,firmware_update_sd_desc2_link,https://keyst.one/firmware,P2,,
,firmware_update_sd_desc3,Transfer the firmware file (keystone3.bin) onto your Keystone using MicroSD card (formatted in FAT32).,P2,,
,firmware_update_sd_desc4,Tap the #F5870A Update# button below.,P2,,
,firmware_update_sd_not_detected_title,Firmware Not Detected,P2,,
,firmware_update_sd_not_detected_desc,Please ensure that you've inserted a FAT32-formatted MicroSD card with the firmware into the device.,P2,,
,firmware_update_sd_copying_title,Copying,P2,,
,firmware_update_sd_copying_desc,The copying process of the latest firmware from the MicroSD card may take 15 to 45 seconds.,P2,,
,firmware_update_sd_dialog_title,Update Available,P2,,
,firmware_update_sd_dialog_desc,A new firmware version is available. Do you want to update your device's firmware to version v1.3.0?,P2,,
,firmware_update_sd_updating_title,Updating,P2,,
,firmware_update_sd_updating_desc,Takes around 5 seconds,P2,,
,firmware_update_sd_failed_access_title,Failed to Access MicroSD Card,P2,,
,firmware_update_sd_failed_access_desc,The MicroSD card is not recognized. The current device requires formatting the MicroSD card for re-recognition.,,,
,firmware_update_deny_input_password,Input Password,,,
,firmware_update_deny_title,Unlock Device Required,,,
,firmware_update_deny_desc,You need to unlock your device to upgrade the firmware version.,P2,,
Battery,low_battery_pop_up_title,Low Battery,P2,,
,low_battery_pop_up_desc,"For the process to continue, ensure that the device has a minimum of 20% battery power.",P2,,
Purpose,purpose_title,New Wallet,P2,,
,purpose_desc,Create a new wallet or import an existing wallet using it's seed phrase.,P0,,
,purpose_new_wallet,Create Wallet,P2,,
,purpose_import_wallet,Import Wallet,P2,,
create wallet/single backup,single_backup_setpin_title,Set PIN Code,P0,,
,single_backup_setpin_desc,The PIN code will be utilized to unlock your wallet and authorize transactions.,P0,,
,single_backup_setpin_use_pin,Use PIN Code,P0,,
,single_backup_setpin_use_pass,Use Password,P2,,
,single_backup_setpass_title,Set Password,P0,,
,single_backup_setpass_desc,The password will be used to unlock your wallet and authorize transactions.,P0,,
,single_backup_repeatpin_title,Re-Enter PIN Code,P0,,
,single_backup_repeatpin_desc,Repeat and confirm the PIN code you've entered.,P2,,
,single_backup_repeatpin_error,PIN code does not match,P2,,
,single_backup_repeatpass_title,Re-Enter Password,P0,,
,single_backup_repeatpass_desc,Double confirm the password you've entered.,P0,,
,single_backup_namewallet_title,Customize Your Wallet,P0,,
,single_backup_namewallet_desc,Assign a name to your wallet and select an icon to make it easily distinguishable.,P0,,
,single_backup_namewallet_previntput,Wallet Name,P2,,
,single_backup_choose_backup_title,Backup Options,P0,,
,single_backup_choose_backup_desc,Select the preferred method for backing up your seed phrase.,P0,,
,single_backup_single_phrase_title,Standard Seed Phrase,P2,,
,single_backup_single_phrase_desc,12 or 24 seed phrase backup. Most commonly used method.,P0,,
,single_backup_shamir_title,Shamir Backup,P2,,
,single_backup_shamir_desc,An advanced procedure for securely storing your seed phrase.,P0,,
,single_backup_learn_more_title,What is Shamir Backup?,P2,,
,single_backup_learn_more_desc,Shamir backup is a high-security method for a seed phrase. It splits the seed phrase into multiple pieces and determines how many pieces are needed to restore the phrase. You can control the number of individuals required to be involved in order to restore the backup to the entire seed phrase.,P2,,
,single_backup_learn_more_link,Learn More,P2,,
,single_backup_learn_more_qr_title,What is Shamir Backup?,P2,,
,single_backup_learn_more_qr_link,https://keyst.one/b/3rd/shamir,P2,,
,single_backup_notice_title,Check Your Surroundings,P2,,
,single_backup_notice_desc1,"Never share your seed phrase with anyone else, as it grants access to your assets.",P0,新增修改,
,single_backup_notice_desc2,Ensure there are no onlookers or cameras when recording your seed phrase.,P0,新增修改,
,single_backup_phrase_regenerate,Regenerate,P2,,
create wallet/phrase,single_phrase_title,Backup Your Phrase,P2,,
,single_phrase_desc,Write down your seed phrase in the card and keep it properly,P2,,
,single_phrase_word_amount_select,Phrase Words Amount,P2,,
,single_phrase_12words,12 Words,P2,,
,single_phrase_24words,24 Words,P2,,
,single_phrase_confirm_title,Confirm Your Phrase,P2,,
,single_phrase_confirm_desc,Tap words below orderly to confirm that you have kept your seed phrase properly.,P2,新增修改,
,single_phrase_reset,Reset,P2,,
,single_phrase_not_match_title,Phrase does not match,P2,,
,single_phrase_not_match_desc,The phrase order is incorrect. Please check your backup and try again,P2,,
,single_phrase_low_battery_tilte,Low Battery,P2,,
,single_phrase_low_battery_desc,The device needs a minimum of 20% battery life to continue the process,P2,,
createing wallet,create_wallet_generating_title,"Creating Wallet, Keep Screen ON",P2,,
,create_wallet_generating_desc,Writing Secure Element...,P2,,
SSB,shamir_phrase_number,Number of Shares,P2,,
,shamir_phrase_threold,Threshold,P2,,
,shamir_phrase_desc,Shamir Backup,P2,,
,shamir_phrase_custodian_title,Share,P2,,
,shamir_phrase_custodian_desc,Please confirm you are the custodian of the Share,P2,新增修改,"在生成分片助记词2、3、4...时，以下描述需要修改：
Please confirm you are the custodian of the share #3，
修改为Please confirm you are the custodian of the Share3.
具体可以看Notion"
,shamir_phrase_notice_title,Check Your Surroundings,P2,,
,shamir_phrase_notice_desc1,"Never share your seed phrase with anyone else, as it grants access to your assets.",P2,新增修改,
,shamir_phrase_notice_desc2,Ensure there are no onlookers or cameras when recording your seed phrase.,P2,新增修改,
,shamir_phrase_backup_title,Backup Your Phrase,P2,,
,shamir_phrase_backup_desc,Write down your Share 1 phrase and keep it properly.,P2,新增修改,分片1、2、3等的share需要大写，以此类推
,shamir_phrase_confirm_title,Confirm Your Phrase,P2,,
,shamir_phrase_confirm_desc,Select words below in the order of your Share #F5870A 1# phrase to confirm that you have kept it properly.,P2,新增修改,需要修改，此处未变黄字，仍显示字符串
,shamir_phrase_verify_success_title,Verify Successful,P2,,
,shamir_phrase_verify_success_desc1,"The seed phrase of this Share is verified successfully, now proceed to the next share. ",P2,,
,shamir_phrase_verify_success_desc2,Tap the button below and hand it over to the second share custodian who keeps Share 2.,P2,,
,shamir_phrase_not_match_title,Phrase does not match,P2,,
,shamir_phrase_not_match_desc,The phrase order is incorrect. Please check your backup and try again,P2,,
,shamir_phrase_cancel_create_title,Cancel Create Wallet?,P2,,
,shamir_phrase_cancel_create_desc,Are you sure you want to cancel the process? The confirmed Shares will be lost after canceling.,P2,,
,shamir_phrase_continue_btn,Continue,P2,,
,shamir_phrase_share_number_fmt,Share #F5870A %d#/%d,,,e.g. Share 1/5
,shamir_phrase_share_notice_fmt,Please confirm you are the custodian of the\nshare #%d,,,
,shamir_phrase_share_backup_notice_fmt,Write down your share #F5870A %d# phrase and keep \nit properly.,,,
,shamir_phrase_share_confirm_notice_fmt,Select words below in the order of your\nshare #%d phrase to confirm that you have\nkept it properly.,,,
,shamir_phrase_cancel_create_btn,Cancel Create,P2,,
import wallet/single import,import_wallet_phrase_words_title,Phrase Words Amount,P2,,
,import_wallet_phrase_12words,12 Words,P2,,
,import_wallet_phrase_18words,18 Words,P2,,
,import_wallet_phrase_24words,24 Words,P2,,
,import_wallet_phrase_20words,20 Words,P2,,
,import_wallet_phrase_20words_per_share,20 Words Per Share,,,
,import_wallet_phrase_33words,33 Words,P2,,
,import_wallet_phrase_33words_per_share,33 Words Per Share,,,
,import_wallet_phrase_title,Import Your Phrase,P2,,
,import_wallet_phrase_desc,Input the seed phrase in the blanks provided below.,P2,,
,import_wallet_phrase_clear_btn,Clear,P2,,
,import_wallet_invalid_phrase_title,Invalid Seed Phrase,P2,,
,import_wallet_choose_method,Choose Import Method,,,
,import_wallet_single_backup_desc,Recover your wallet with the specific\nseed phrase,,,
,import_wallet_single_phrase,Single Secret Phrase,,,
,import_wallet_single_phrase_desc,You'll need a 12/18/24 seed phrase\nto recover your wallet.,,,
,import_wallet_shamir_backup,Shamir Backup,,,
,import_wallet_shamir_backup_desc,You'll need a couple of seed phrase\nshares to recover your wallet,,,
,import_wallet_invalid_phrase_desc,The phrase you typed is invalid. Please check your backup and try again,P2,,
import wallet/SSB,import_wallet_ssb_title_fmt,Share #F5870A %d#,P2,新增修改,Share 1
,import_wallet_ssb_step_fmt,%d of %d,,,1 of 2
,import_wallet_ssb_desc_fmt,Input the #F5870A %d#-words seed phrase for Share #F5870A %d# in the blanks provided below.,P2,,
,import_wallet_ssb_incorrect_title,Incorrect Share,P2,,
,import_wallet_ssb_repeat_desc,"The Share already entered, please enter a different Share.",P2,,
,import_wallet_ssb_notbelong_desc,The Share you entered is not belong to this backup. Please check your backup and try again.,P2,,
,import_wallet_ssb_cancel_title,Cancel Import Wallet?,P2,,
,import_wallet_ssb_cancel_desc,You will be required to re-enter all the Shares after canceling.,P2,,
connect wallet,connect_wallet_title,Connect Wallet,P2,,
,connect_wallet_desc,Scan the QR code with your software wallet,P2,,
,connect_wallet_xpub_qrformat,QR Code Format,P2,,
,connect_wallet_xpub_addresstype,Address Type,P2,,
,connect_wallet_keystone_hint,Select networks you’d like to manage in the software wallet,,,
,connect_wallet_scan,Scan the QR code with your software wallet,,,
,connect_wallet_supported_networks,Supported Networks,,,
,connect_wallet_select_network,Select Network,,,
,connect_wallet_choose_wallet,Choose Wallet,,,
,connect_wallet_upgrade_hint,Please upgrade to the latest version for access to expanded software wallet compatibility.,,,
derivation_path,derivation_path_select_eth,Select the derivation path you’d like to use for Ethereum,,,
,derivation_path_eth_standard_desc,Recommended. Widely adopted across numerous software wallets,,,
,derivation_path_eth_ledger_live_desc,Choose this path if you intend to import a seed phrase from Ledger Live.,,,
,derivation_path_eth_ledger_legacy_desc,Choose this path if you are managing your digital assets with Ledger Legacy.,,,
,derivation_path_address_eg,Addresses eg.,,,
,derivation_path_change,Change Derivation Path,,,
device setting,device_setting_mid_btn,Device Settings,P2,,
,device_setting_wallet_setting_title,Wallet Settings,P2,,
,device_setting_wallet_setting_desc,Name / Passcode / Passphrase...,P2,,
,device_setting_system_setting_title,System Settings,P2,,
,device_setting_system_setting_desc,Language / Screen / Reset...,P2,,
,device_setting_connection_title,Connection,P2,,
,device_setting_connection_desc,USB / Bluetooth / MicroSD Card...,P2,新增修改,
,device_setting_about_title,About,P2,,
,wallet_settings_mid_btn,Wallet Settings,P2,,
,wallet_setting_passcode,Fingerprint & Passcode,P2,,
,wallet_setting_passphrase,Passphrase,P2,,
,wallet_setting_seed_phrase,Seed Phrase Check,P2,,
,wallet_setting_add_wallet,Add Wallet,P2,,
,fingerprint_passcode_mid_btn,Fingerprint & Passcode,P2,,
,fingerprint_passcode_fingerprint_setting,Fingerprint Settings,P2,,
,fingerprint_passcode_reset_passcode,Reset Passcode,P2,,
,change_passcode_mid_btn,Enter Passcode,P2,,
,set_passcode_title,Set a PIN Code,P2,,
,set_passcode_desc,This PIN code will be used to unlock your wallet and sign transactions.,P2,,
,change_passcode_warning_title,Remember your Passcode,P2,,
,change_passcode_warning_desc,"If you forget it, you’ll have to verify the seed phrase of this wallet to reset the passcode.",P2,,
,repeat_passcode_title,Repeat the PIN Code,P2,,
,repeat_passcode_desc,Repeat and confirm the PIN code you’ve just typed.,P2,,
,change_passcode_reset_title,"Resetting, Keep Screen ON",P2,,
,change_passcode_reset_desc,Writing Secure Element...,P2,,
,change_passcode_reset_success_title,Reset Successful,P2,,
,change_passcode_reset_success_desc,Your passcode has been reset successfully.,P2,,
,passphrase_enter_passcode,Passphrase,P2,,
,passphrase_access_switch_title,Passphrase Quick Access,P2,,
,passphrase_access_switch_desc,Display a shortcut entry for Passphrase when powered on,P2,,
,passphrase_enter_input,Input passphrase,P2,,
,passphrase_enter_repeat,Repeat passphrase,P2,,
,passphrase_error_not_match,Passphrase does not match,,,
,passphrase_error_too_long,input length cannot exceed 128 characters,,,
,passphrase_learn_more_title,What is Passphrase?,P2,,
,passphrase_learn_more_desc1,The passphrase is an additional layer of security on top of your backup.,P2,,
,passphrase_learn_more_desc2,Entering a different passphrase will always generate a different wallet.,P2,,
,passphrase_learn_more_desc3,"To recover your wallet, both the passphrase and seed phrase are required.",P2,,
,passphrase_learn_more_desc4,"If you forget your passphrase, you can no longer access your coins.",P2,,
,passphrase_learn_more_link,Learn More,P2,,
,passphrase_learn_more_qr_title,What is Passphrase?,P2,,
,passphrase_learn_more_qr_link,https://keyst.one/t/3rd/passphrase,P2,,
,seed_check_mid_btn,Seed Phrase Check,P2,,
,seed_check_single_phrase,Single Secret Phrase,P2,,
,seed_check_share_phrase,Secret Sharing Backup,P2,,
,seed_check_single_phrase_title,Enter Your Phrase,P2,,
,seed_check_share_phrase_title,Input your seed phrase to verify if it matches your current wallet.,P2,,
,seed_check_wait_verify,Verifying,P2,,
,seed_check_verify_match_desc,Seed phrase matches.,P2,,
,seed_check_verify_not_match_title,Verify Failed,P2,,
,seed_check_verify_not_match_desc,Invalid seed phrase. Please try again.,P2,,
,wallet_settings_add_info_title,Notice,P2,,
,wallet_settings_add_info_desc1,Keystone supports a maximum of #F5870A 3# different wallets.,P2,,
,wallet_settings_add_info_desc2,You should set a #F5870A different passcode# for each wallet,P2,,
,wallet_settings_add_info_desc3,"For your security, we will not display the wallet list anywhere. The #F5870A only way# to switch wallets is to unlock the device with the corresponding passcode.",P2,,
,wallet_settings_delete_button,Delete Wallet,P2,,
,wallet_settings_delete_confirm_title,Delete Wallet?,P2,,
,wallet_settings_delete_confirm_desc,"To safeguard your digital assets, it is advisable to verify the seed phrase before proceeding with its deletion.",P2,,
,wallet_settings_delete_confirm_button1,Seed Phrase Check,P2,,
,wallet_settings_delete_confirm_button2,Confirm Deletion,P2,,
,wallet_settings_delete_laoding_title,Deleting,P2,,
,wallet_settings_delete_laoding_desc,Erasing Secure Element...,P2,,
System Settings,system_settings_title,System Settings,P2,,
,system_settings_vabiration,Vibration,P2,,
,system_settings_screen_lock_title,Display & Lock Screen,P2,,
,system_settings_screen_lock_brightness,Brightness,P2,,
,system_settings_screen_lock_auto_lock,Auto Lock,P2,,
,system_settings_screen_lock_auto_shutdown,Auto Shutdown,P2,,
,system_settings_screen_lock_auto_lock_title,Timeout Duration,P2,,
,system_settings_screen_lock_auto_lock_15secs,15 seconds,P2,,
,system_settings_screen_lock_auto_lock_30secs,30 seconds,P2,,
,system_settings_screen_lock_auto_lock_1min,1 minute,P2,,
,system_settings_screen_lock_auto_lock_5mins,5 minutes,P2,,
,system_settings_screen_lock_auto_lock_10mins,10 minutes,P2,,
,system_settings_screen_lock_auto_power_off_title,Auto Shutdown,P2,,
,system_settings_screen_lock_auto_power_off_1h,1 hour,P2,,
,system_settings_screen_lock_auto_power_off_6h,6 hours,P2,,
,system_settings_screen_lock_auto_power_off_12h,12 hours,P2,,
,system_settings_screen_lock_auto_power_off_1d,1 day,P2,,
,system_settings_screen_lock_auto_power_off_never,Never,P2,,
,system_settings_wipe_device_wipe_title,Wipe Device,P2,,
,system_settings_wipe_device_wipe_desc,"All data stored on this device, including all of your wallets, will be permanently deleted.",P2,,
,system_settings_wipe_device_wipe_button,Wipe Device Now,P2,,
,system_settings_wipe_device_wipe_alert_title,Wipe Device,P2,,
,system_settings_wipe_device_wipe_start_text,Wipe(5),,,
,system_settings_wipe_device_wipe_fmt,Wipe(%d),,,
,system_settings_wipe_device_wipe_end_text,Wipe,,,
,system_settings_wipe_device_wipe_alert_desc,"Please confirm that continuing will permanently delete all data, including wallets, on this device.",P2,新增修改,
,system_settings_wipe_device_generating_title,Resetting Device,P2,,
,system_settings_wipe_device_generating_desc1,Erasing Secure Element...,P2,,
,system_settings_wipe_device_generating_desc2,Do not power off your device while the installation process is underway,P2,,
,device_settings_connection_title1,Connection,P2,,
,device_settings_connection_sub_title1,Data transfer with USB,P2,,
,device_settings_connection_desc1,"When disabled, the usb can only be used for charging battery",P2,,
home,home_more_connect_wallet,Connect Software Wallet,P2,,
,home_select_coin_count_fmt,#F5870A %d#/%d,,,
,home_upgrade_hint,Please upgrade to the latest version for access to expanded crypto compatibility.,,,
,home_manage_assets,Manage Assets,,,
,home_more_device_setting,Device Settings,P2,,
Receive,receive_btc_alert_title,Attention,P2,,
,receive_btc_alert_desc,This address is exclusively for BTC transactions only. Sending other types of digital assets to this address will result in their loss.,P2,,
,receive_btc_alert_button,Got It,P2,,
,receive_btc_receive_main_title,Receive BTC,P2,,
,receive_btc_receive_main_button,Generate New Address,P2,,
,receive_btc_receive_switch_title,Switch Address,P2,,
,receive_btc_receive_change_address_title,Go to,P2,,
,receive_btc_receive_change_address_limit,"Cannot exceed 999,999,999",P2,,
,receive_btc_more_address_settings,Address Settings,P2,,
,receive_btc_more_t,Tutorial,P2,,
,receive_btc_more_t_title1,What are the three different address formats for BTC?,P2,,
,receive_btc_more_t_desc1,"Bitcoin (BTC) uses three address formats for receiving funds:
1. Native SegWit is the most efficient and secure Bitcoin address format. It provides cost savings and improved security compared to other traditional address formats,typically starting with ""bc1""
2. Legacy address format is one of the earliest versions of Bitcoin, typically starting with ""1""
3. Nested SegWit is a solution designed to facilitate the transition to Native SegWit in a smooth manner, typically starting with ""3""",P2,,
,receive_btc_more_t_link1,Learn More,P2,,
,receive_btc_more_t_qr_title1,What are the three different address formats for BTC?,P2,,
,receive_btc_more_t_qr_link1,https://keyst.one/t/3rd/faq,P2,,
,receive_btc_more_t_title2,Can the three different address formats be used to transfer funds to each other?,P2,,
,receive_btc_more_t_desc2,"Yes, the three distinct Bitcoin address formats can be used for transferring funds among each other. However, it’s important to keep in mind the following aspects:
1. Differing transaction fees: The choice of address format can influence transaction fees, with Native SegWit addresses generally having lower fees.
2. Wallet and exchange compatibility: Make sure that the wallet or exchange you are using supports your chosen address format. Some wallets may only be compatible with specific address formats.",P2,,
,receive_btc_more_t_link2,Learn More,P2,,
,receive_btc_more_t_qr_title2,Can the three different address formats be used to transfer funds to each other?,P2,,
,receive_btc_more_t_qr_link2,https://keyst.one/t/3rd/faq,P2,,
,receive_btc_more_t_title3,Advantages of Avoiding Address Reuse,P2,,
,receive_btc_more_t_desc3,"1. Privacy: Reusing addresses increases transaction traceability, endangering privacy. New addresses help maintain transaction privacy.
2. Transaction Efficiency: Multiple UTXOs linked to one address can raise costs for consolidation, impacting wallet efficiency.
3. Security: Repeated address use heightens the risk of private key exposure, potentially leading to losses if compromised.
In short, not reusing addresses safeguards privacy, optimizes transactions, and reduces security risks within the UTXO model.",P2,,
,receive_btc_more_t_link3,Learn More,P2,,
,receive_btc_more_t_qr_title3,Advantages of Avoiding Address Reuse,P2,,
,receive_btc_more_t_qr_link3,https://keyst.one/t/3rd/faq,P2,,
,receive_eth_alert_title,Attention,P2,,
,receive_eth_alert_desc,"This address is only for ETH and EVM ERC-20 tokens, other digital assets sent to this address will be lost.",P2,,
,receive_eth_alert_button,Got It,P2,,
,receive_eth_receive_main_title,Receive ETH,P2,,
,receive_eth_receive_main_button,Generate New Address,P2,,
,receive_eth_more_derivation_path,Change Derivation Path,P2,,
,receive_eth_more_derivation_path_title,Change Derivation Path,P2,,
,receive_eth_more_derivation_path_desc,Select the derivation path you’d like to use for Ethereum,P2,,
,receive_eth_more_derivation_path_bip,BIP 44 Standard,P2,,
,receive_eth_more_derivation_path_desc,Recommend. Most commonly used in many software wallets.,P2,,
,receive_eth_more_derivation_path_title2,Accounts eg:,P2,,
,receive_eth_more_derivation_path_ledger_live,Ledger Live,P2,,
,receive_eth_more_derivation_path_desc2,Select this path for Ledger Live asset management.,,,
,receive_eth_more_derivation_path_ledger_legacy,Ledger Legacy,P2,,
,receive_eth_more_derivation_path_desc3,Select this path for Ledger Legacy asset management.,,,
,receive_eth_more_t,Tutorial,P2,,
,receive_eth_more_t_title1,"1. Standard Path: This path is widely employed by numerous software wallets for address generation. Examples of such wallets encompass MetaMask, Rabby, BitKeep, and Core Wallet.
2. Ledger Live: Choose this path if you intend to import a seed phrase from Ledger Live. Please note that Keystone supports synchronizing only the initial 10 addresses using this format.
3. Ledger Legacy: Transition to this path if you manage your digital assets with Ledger Legacy",P2,,
,receive_eth_more_t_desc1,"1. Standard Path: This path is widely employed by numerous software wallets for address generation. Examples of such wallets encompass MetaMask, Rabby, BitKeep, and Core Wallet.
2. Ledger Live: Choose this path if you intend to import a seed phrase from Ledger Live. Please note that Keystone supports synchronizing only the initial 10 addresses using this format.
3. Ledger Legacy: Transition to this path if you manage your digital assets with Ledger Legacy",P2,,
,receive_eth_more_t_link1,Learn More,P2,,
,receive_eth_more_t_qr_title1,"Exploring Differences: Standard, Ledger Live, and Legacy Derivation Paths in Ethereum",P2,,
,receive_eth_more_t_qr_link1,https://keyst.one/t/3rd/faq,,,
,receive_coin_fmt,Receive %s,,,
,receive_trx_hint,"This address is only for TRX, TRC-20 tokens and TRC-10 tokens, other digital assets sent to this address will be lost.",,,
,receive_coin_hint_fmt,"This address is only for %s, other digital assets sent to this address will be lost.",,,
,receive_generate_new_address,Generate New Address,,,
