VIEW,ID(0.0.1),en,优先级
Welcome,welcome_brand,Keystone,
,welcome_version,v0.9.0,
Lanuage,language_title,Language,
,language_desc,Select your language,
,language_option1,English,
,language_option2,简体中文,
,language_option3,Русский язык,
,language_option4,Español,
,language_option5,한국인,
Verify Your Device,verify_title,Verify Your Device,P0
,verify_desc,This procedure is to verify that the Keystone device or firmware has not been tampered with.,P0
,verify_cont1,Please access the link stated below. Click the #F5870A Start Verification# button to initiate the process.,P0
,verify_cont1_link,https://keyst.one/verify,P0
,verify_cont2,Scan the QR code generated on the website to obtain your device verification code.,P0
,verify_cont3,Enter the code on the website to check whether the device has been compromised or not.,P0
,verification_code_title,Verification Code,P0
,verification_code_desc,Input this verification code on the Web Authentication page of Keystone's official website to authenticate the device.,P0
,verification_code_failed_title,Unauthorized breach attempt detected!,P0
,verification_code_failed_desc,"Your device has potentially been breached, putting your sensitive data and digital assets at risk. For safety, erase all personal data and contact our Customer Service team immediately.",P0
,verification_code_failed_link,support@keyst.one,
,verify_qr_title,Verify Your Device,P0
,verify_qr_link,https://keyst.one/verify,P0
,verify_scan_invalid_a_title,Invalid QR Code,
,verify_scan_invalid_a_desc,Unable to recognize QR code information,
Firmware Update,firmware_update_title,Firmware Update,
,firmware_update_desc,"To take advantage of the latest features, make sure to update your firmware to the most recent version.",
,firmware_update_usb_title,Update via USB,
,firmware_update_usb_desc1,Ensure that your Keystone has at least 20% battery life remaining.,
,firmware_update_usb_desc2,Navigate to Keystone's firmware update page using your computer or mobile.,
,firmware_update_usb_desc2_link,https://keyst.one/webusb,
,firmware_update_usb_desc3,Connect Keystone to your computer with a USB-C cable.,
,firmware_update_usb_desc4,Hit the #F5870A Install Update# button on the webpage and follow the instructions to install the latest firmware.,
,firmware_update_usb_title2,#F5870A Caution#,
,firmware_update_usb_desc5,Do not unplug the USB cable while the installation process is underway.,
,firmware_update_usb_qr_title,Firmware Update,
,firmware_update_usb_qr_link,https://keyst.one/webusb,
,firmware_update_usb_connect_info_title,Connect to This Device?,
,firmware_update_usb_connect_info_desc,"Once connected, the external device will have the necessary authorization to transfer data to your Keystone.",
,firmware_update_usb_updating_title,Updating,
,firmware_update_usb_updating_desc,Takes around 5 seconds,
,firmware_update_usb_updating_hint,Do not unplug the USB cable while the installation process is underway.,
,firmware_update_sd_title,Update via MicroSD,
,firmware_update_sd_desc1,Ensure that your Keystone has at least 20% battery life remaining.,
,firmware_update_sd_desc2,Head over to,
,firmware_update_sd_desc2_link,https://keyst.one/firmware,
,firmware_update_sd_desc3,Transfer the firmware file (keystone3.bin) onto your Keystone using MicroSD card (formatted in FAT32).,P0
,firmware_update_sd_desc4,Tap the #F5870A Update# button below.,P0
,firmware_update_sd_not_detected_title,Firmware Not Detected,
,firmware_update_sd_not_detected_desc,Please ensure that you have inserted a microSD card formatted in FAT32 that contains the firmware.,
,firmware_update_sd_copying_title,Copying,
,firmware_update_sd_copying_desc,The copying process of the latest firmware from the MicroSD card may take 15 to 45 seconds.,
,firmware_update_sd_dialog_title,Update Available,
,firmware_update_sd_dialog_desc,A new firmware version is available. Do you want to update your device's firmware to version v1.3.0?,
,firmware_update_sd_updating_title,Updating,
,firmware_update_sd_updating_desc,Takes around 5 seconds,
,firmware_update_sd_failed_access_title,firmware_update_sd_updating_desc,
,firmware_update_sd_failed_access_desc,The SD card is not recognized. The current device requires formatting the SD card for re-recognition.,
Battery,low_battery_pop_up_title,Low Battery,
,low_battery_pop_up_desc,"For the process to continue, ensure that the device has a minimum of 20% battery power.",
Purpose,purpose_title,New Wallet,
,purpose_desc,Create a new wallet or import a wallet from the existing seed phrase,P0
,purpose_new_wallet,Create Wallet,
,purpose_import_wallet,Import Wallet,
create wallet/single backup,single_backup_setpin_title,Set a PIN Code,
,single_backup_setpin_desc,This PIN code will be used to unlock your wallet and sign transactions.,
,single_backup_setpin_use_pin,Use PIN Code,
,single_backup_setpin_use_pass,Use Password,
,single_backup_setpass_title,Set a Password,
